Wall time,Step,Value
1747700597.4786613,344064,152.8932647705078
1747700611.3336174,346112,158.12974548339844
1747700625.0100493,348160,159.1431427001953
1747700638.4214547,350208,156.0724639892578
1747700651.735865,352256,154.82794189453125
1747700665.0711699,354304,153.7821502685547
1747700677.9452069,356352,157.70925903320312
1747700690.926166,358400,157.61683654785156
1747700704.2266622,360448,154.58074951171875
1747700717.2932982,362496,154.55300903320312
1747700730.5230076,364544,152.26214599609375
1747700743.490933,366592,155.81129455566406
1747700756.3873281,368640,155.29209899902344
1747700769.401786,370688,150.43331909179688
1747700782.1744766,372736,149.7963104248047
1747700795.2602322,374784,147.80722045898438
1747700808.3597956,376832,147.16732788085938
1747700821.232382,378880,157.52545166015625
1747700834.4895456,380928,159.50021362304688
1747700847.282186,382976,159.67340087890625
1747700860.2102883,385024,165.50692749023438
1747700873.182432,387072,167.72799682617188
1747700886.2415204,389120,166.4432373046875
1747700899.0144005,391168,163.29493713378906
1747700912.07442,393216,162.4812774658203
1747700925.2620382,395264,165.5135498046875
1747700938.5159326,397312,161.9398956298828
1747700951.5089405,399360,155.87600708007812
1747700964.6955638,401408,154.29928588867188
1747700977.952469,403456,156.3399658203125
1747700991.280498,405504,158.65545654296875
1747701004.4510565,407552,157.83090209960938
1747701017.6922204,409600,153.341552734375
1747701030.565513,411648,155.51785278320312
1747701043.424583,413696,152.3892059326172
1747701056.4260302,415744,156.63232421875
1747701069.483713,417792,154.31143188476562
1747701082.3867855,419840,152.06103515625
1747701095.5025845,421888,151.87191772460938
1747701108.3372781,423936,150.592529296875
1747701121.2417705,425984,146.99569702148438
1747701134.0774217,428032,148.44921875
1747701146.7346883,430080,144.08258056640625
1747701159.4486806,432128,147.1643829345703
1747701172.3557389,434176,146.1270751953125
1747701185.175049,436224,148.43194580078125
1747701198.1569245,438272,148.97720336914062
1747701210.9602222,440320,149.10302734375
1747701223.7288764,442368,151.02662658691406
1747701236.6795864,444416,150.96218872070312
1747701250.0151215,446464,152.5636444091797
1747701263.4335337,448512,154.41648864746094
1747701276.5549684,450560,157.042724609375
1747701289.7069001,452608,153.53448486328125
1747701303.05215,454656,155.30874633789062
1747701316.2278986,456704,157.59921264648438
1747701329.5461857,458752,162.07362365722656
1747701342.7624354,460800,163.60508728027344
1747701356.1149647,462848,161.00856018066406
1747701369.4766438,464896,156.57037353515625
1747701382.8800664,466944,159.73358154296875
1747701396.3433743,468992,162.7495880126953
1747701409.9232647,471040,160.9017791748047
1747701423.4575412,473088,159.37596130371094
1747701436.7494154,475136,156.33949279785156
1747701450.4270875,477184,163.54962158203125
1747701463.519099,479232,163.7023162841797
1747701476.3605871,481280,161.7642364501953
1747701489.4530385,483328,164.35037231445312
1747701502.420677,485376,159.8599395751953
1747701515.4019141,487424,160.0105438232422
1747701528.3859577,489472,166.86083984375
1747701541.5119376,491520,163.32618713378906
1747701554.3877923,493568,162.15538024902344
1747701567.4174423,495616,163.25827026367188
1747701580.6832128,497664,162.43800354003906
1747701593.635192,499712,159.20721435546875
1747701606.6064255,501760,159.79258728027344
1747701628.698252,503808,161.81590270996094
1747701642.0695624,505856,160.25759887695312
1747701655.2572627,507904,163.07801818847656
1747701668.6110263,509952,161.1774139404297
1747701681.7138636,512000,164.56472778320312
1747701694.837094,514048,170.1938934326172
1747701708.1172986,516096,168.78663635253906
1747701721.1969645,518144,167.19801330566406
1747701734.6057305,520192,166.47975158691406
1747701747.74602,522240,159.3627471923828
1747701761.021493,524288,162.92718505859375
1747701774.3184588,526336,161.1692657470703
1747701787.563503,528384,158.24612426757812
1747701800.7922626,530432,155.07662963867188
1747701813.6228473,532480,151.0835723876953
1747701826.8582468,534528,154.01217651367188
1747701840.0757785,536576,147.79925537109375
1747701853.1838934,538624,147.4207000732422
1747701866.3846335,540672,139.59182739257812
1747701879.4743633,542720,139.97413635253906
1747701892.4198737,544768,143.65333557128906
1747701905.5313299,546816,149.60150146484375
1747701919.3314328,548864,154.72491455078125
1747701934.505711,550912,156.61575317382812
1747701948.6475961,552960,156.8128204345703
1747701962.159657,555008,157.7296142578125
1747701976.1224444,557056,150.25184631347656
1747701990.6659772,559104,154.22064208984375
1747702004.6459405,561152,158.3497314453125
1747702018.6507063,563200,156.74403381347656
1747702032.805595,565248,156.28977966308594
1747702046.9233308,567296,160.32260131835938
1747702061.178579,569344,148.3943634033203
1747702075.3689015,571392,149.2103271484375
1747702089.7416494,573440,150.959716796875
1747702106.276831,575488,147.19126892089844
1747702122.9857814,577536,144.1536407470703
1747702137.984827,579584,138.99588012695312
1747702151.9926403,581632,131.07814025878906
1747702165.4112158,583680,120.12921142578125
1747702179.8268309,585728,119.35181427001953
1747702193.1882846,587776,118.7754898071289
1747702206.9436285,589824,118.07749938964844
1747702221.4045134,591872,119.52827453613281
1747702235.0873795,593920,116.47283935546875
1747702249.3026195,595968,112.70528411865234
1747702263.2381003,598016,116.53355407714844
1747702277.3036292,600064,123.40017700195312
1747702291.1543987,602112,121.33059692382812
1747702305.1082194,604160,128.74024963378906
1747702319.0998514,606208,123.1313705444336
1747702334.731817,608256,123.3692855834961
1747702349.6186152,610304,121.97769165039062
1747702364.4089997,612352,124.63587951660156
1747702380.6235685,614400,127.62467956542969
1747702395.988676,616448,127.65189361572266
1747702410.2900352,618496,128.8525390625
1747702425.217094,620544,133.82606506347656
1747702439.8746955,622592,136.88450622558594
1747702457.092199,624640,138.980712890625
1747702474.5129018,626688,139.54747009277344
1747702491.9408903,628736,139.0814666748047
1747702509.544893,630784,139.95022583007812
1747702527.3509765,632832,142.67599487304688
1747702545.1237576,634880,141.1103973388672
1747702563.0162907,636928,135.86129760742188
1747702580.833694,638976,136.9956512451172
1747702598.4100695,641024,137.26336669921875
1747702615.8820767,643072,138.4822235107422
1747702633.6539319,645120,143.44039916992188
1747702650.972346,647168,146.18247985839844
1747702668.004925,649216,142.0722198486328
1747702685.2879937,651264,140.17938232421875
1747702702.2597916,653312,136.24510192871094
1747702719.5130355,655360,137.57115173339844
1747702737.231041,657408,139.2101593017578
1747702754.9526756,659456,142.805419921875
1747702771.7839446,661504,143.041015625
1747702789.0740383,663552,141.56982421875
1747702806.1503434,665600,141.96597290039062
1747702823.5836487,667648,138.3998565673828
1747702840.9100022,669696,140.88502502441406
1747702858.0137303,671744,140.04782104492188
1747702875.558789,673792,138.56797790527344
1747702893.0107918,675840,137.83702087402344
1747702910.332144,677888,136.9998779296875
1747702927.769191,679936,141.28909301757812
1747702945.4480104,681984,139.31683349609375
1747702963.2558265,684032,147.12782287597656
1747702980.839172,686080,147.5298614501953
1747702998.2366912,688128,146.6240997314453
1747703015.6260934,690176,149.6048126220703
1747703032.3370628,692224,147.66806030273438
1747703049.7155166,694272,149.48190307617188
1747703066.851277,696320,148.3157501220703
1747703083.9959965,698368,160.2328643798828
1747703101.2055228,700416,163.2410430908203
1747703118.5085912,702464,165.63961791992188
1747703136.0351918,704512,170.3230438232422
1747703153.9207377,706560,165.34959411621094
1747703171.554701,708608,169.63047790527344
1747703189.1761377,710656,168.9554443359375
1747703206.6683397,712704,168.49176025390625
1747703224.1352828,714752,175.35243225097656
1747703241.766367,716800,171.77963256835938
1747703259.3871858,718848,172.28538513183594
1747703276.706282,720896,175.2103729248047
1747703293.9218369,722944,173.88575744628906
1747703311.3651578,724992,173.67132568359375
1747703328.2759142,727040,179.93734741210938
1747703344.8455117,729088,178.96481323242188
1747703361.7559876,731136,179.2757568359375
1747703378.9799001,733184,176.74835205078125
1747703395.682128,735232,175.8251190185547
1747703412.5608397,737280,173.763916015625
1747703429.7087362,739328,177.50645446777344
1747703446.6550395,741376,172.70545959472656
1747703463.521508,743424,176.41893005371094
1747703480.9166765,745472,177.2577667236328
1747703498.0644436,747520,182.33480834960938
1747703515.1299438,749568,181.77096557617188
1747703533.1647716,751616,176.594482421875
1747703551.732631,753664,178.96592712402344
1747703569.316608,755712,177.26202392578125
1747703586.974779,757760,174.84371948242188
1747703604.7013226,759808,178.37384033203125
1747703622.5938802,761856,173.97019958496094
1747703639.8405485,763904,173.00599670410156
1747703657.8055005,765952,167.7023468017578
1747703675.019747,768000,172.3877716064453
1747703692.3105385,770048,170.2014923095703
1747703709.6497047,772096,170.40269470214844
1747703727.2197814,774144,169.42837524414062
1747703744.8645089,776192,170.05812072753906
1747703762.0170753,778240,173.42337036132812
1747703779.2844186,780288,174.37237548828125
1747703796.48075,782336,174.66952514648438
1747703813.8850136,784384,179.3574676513672
1747703831.0634487,786432,174.61441040039062
1747703848.544662,788480,175.9904022216797
1747703866.3144238,790528,171.1923828125
1747703883.9251554,792576,174.3166961669922
1747703901.4196625,794624,180.00596618652344
1747703918.973763,796672,181.49957275390625
1747703936.4938672,798720,185.65606689453125
1747703953.594324,800768,190.50906372070312
1747703970.7594366,802816,190.19725036621094
1747703987.6280382,804864,194.5247344970703
1747704004.6048353,806912,187.8716278076172
1747704021.7222207,808960,190.6663818359375
1747704038.9246857,811008,186.03623962402344
1747704055.8722038,813056,184.37274169921875
1747704073.2701511,815104,182.2318572998047
1747704090.4318314,817152,175.48876953125
1747704107.095343,819200,174.35630798339844
1747704124.331102,821248,178.02906799316406
1747704141.9539356,823296,178.6502685546875
1747704159.4338953,825344,177.12789916992188
1747704176.7883244,827392,178.35940551757812
1747704194.5089018,829440,179.6239471435547
1747704212.0664084,831488,183.55380249023438
1747704229.393882,833536,185.82778930664062
1747704247.019327,835584,184.6328887939453
1747704264.7152069,837632,184.96287536621094
1747704282.1662016,839680,185.04344177246094
1747704299.5674899,841728,178.714111328125
1747704317.2907357,843776,179.44850158691406
1747704334.984655,845824,177.94688415527344
1747704352.5519462,847872,174.92437744140625
1747704370.0206873,849920,177.6860809326172
1747704387.6552558,851968,178.69920349121094
1747704404.69945,854016,176.90374755859375
1747704421.680128,856064,181.26455688476562
1747704438.7239454,858112,178.89134216308594
1747704455.9954677,860160,185.0889434814453
1747704473.1202984,862208,184.6201171875
1747704490.605815,864256,183.48402404785156
1747704507.7053409,866304,179.39183044433594
1747704525.2525673,868352,177.68923950195312
1747704542.9917834,870400,175.77691650390625
1747704560.5996516,872448,177.9551544189453
1747704578.4427392,874496,176.3256072998047
1747704595.68664,876544,174.29457092285156
1747704613.4879158,878592,173.91404724121094
1747704630.9191115,880640,167.98391723632812
1747704648.2119734,882688,169.14820861816406
1747704665.565179,884736,165.62179565429688
1747704683.590848,886784,163.875
1747704703.2782385,888832,163.85049438476562
1747704721.5809495,890880,171.10708618164062
1747704738.9382088,892928,171.53050231933594
1747704755.9751022,894976,172.70094299316406
1747704773.0729098,897024,171.79635620117188
1747704790.149535,899072,170.7717742919922
1747704807.1597211,901120,175.4043731689453
1747704824.162887,903168,170.3887939453125
1747704841.0014615,905216,169.1396942138672
1747704857.4446716,907264,166.98374938964844
1747704874.514286,909312,167.7100372314453
1747704891.237252,911360,169.8450927734375
1747704907.9726415,913408,169.98675537109375
1747704924.7745721,915456,170.36900329589844
1747704941.6543648,917504,171.18368530273438
1747704958.4358726,919552,168.0048370361328
1747704974.792731,921600,163.294677734375
1747704991.2997398,923648,170.23858642578125
1747705007.4626777,925696,170.20648193359375
1747705023.6988585,927744,173.57814025878906
1747705040.267745,929792,178.17446899414062
1747705056.9215748,931840,176.5933380126953
1747705073.263655,933888,173.86965942382812
1747705089.2095704,935936,173.0589141845703
1747705105.467088,937984,169.89913940429688
1747705121.8809295,940032,173.2823944091797
1747705138.8296971,942080,176.55320739746094
1747705155.8458886,944128,182.9361114501953
1747705172.6517239,946176,186.13389587402344
1747705189.498772,948224,185.421875
1747705206.447941,950272,183.0428009033203
1747705223.1520786,952320,178.0638885498047
