rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates
-12.584877139999998,118,61440,496.42,30,518,0.2,35.220716054737565,9.495237350463867,-0.007569942998816259,0.0003,-0.934774661064148,0.863288402557373,0.080126953125,0.0074394867,290
-10.622783789999998,118,63488,504.5,31,535,0.2,142.51169960796832,77.44275665283203,-0.00024196913000196218,0.0003,-1.2104244023561477,0.45373278856277466,0.005322265625,0.0039827297,300
-7.391307739999999,118,65536,514.55,32,553,0.2,116.51694033443928,10.904020309448242,-0.0053921306505799295,0.0003,-1.23248858936131,0.7106013298034668,0.088818359375,0.008716078,310
-9.013297399999997,118,67584,528.4,33,571,0.2,59.503950271010396,3.928680896759033,-0.0030738323781406506,0.0003,-1.0446392390877008,0.691982626914978,0.046484375,0.0051769395,320
-5.048692029999999,118,69632,534.78,34,588,0.2,76.08839452564716,3.8678677082061768,-0.00514446908782702,0.0003,-1.2686950996518136,0.7463924884796143,0.056787109375,0.006755119,330
-1.775050539999998,118,71680,549.29,35,607,0.2,80.71810274422168,25.496957778930664,-0.0053515361534664406,0.0003,-0.9267483854666352,0.6937793493270874,0.059228515625,0.0071990667,340
3.81917584,118,73728,568.09,36,623,0.2,11.320555606484414,4.645822048187256,-0.008300643146503717,0.0003,-1.1958068147301675,0.899909257888794,0.0873046875,0.010494651,350
7.14123203,118,75776,575.38,37,639,0.2,37.43875375390053,18.933059692382812,-0.009961212976486422,0.0003,-1.1475470781326294,0.8365905284881592,0.128662109375,0.009656407,360
10.841205420000001,118,77824,593.36,38,657,0.2,109.77306212484837,34.492801666259766,-0.0039308641309617086,0.0003,-1.0976875336840748,0.6739720106124878,0.03134765625,0.0055921366,370
14.041915929999998,118,79872,610.15,39,673,0.2,26.88755332008004,3.4977221488952637,-0.008558329817606136,0.0003,-1.1657735235989093,0.8481069803237915,0.12265625,0.009986065,380
15.057128249999998,116,81920,620.75,40,701,0.2,27.636163172125816,4.358746528625488,-0.004470509459497407,0.0003,-0.9355879630893469,0.8723894357681274,0.048193359375,0.008559706,390
20.78909514,116,83968,629.77,41,722,0.2,31.99698532372713,10.73587417602539,-0.005972952515003271,0.0003,-0.9843386424705386,0.8740609288215637,0.07724609375,0.008109429,400
22.687654539999997,115,86016,646.53,42,745,0.2,40.51503547206521,19.778350830078125,-0.005429875734262168,0.0003,-1.02555182389915,0.7925387024879456,0.081591796875,0.0096887,410
24.651633199999996,114,88064,664.23,43,769,0.2,4.64245178271085,1.370766282081604,-0.005483866308350116,0.0003,-0.8866668693721295,0.9670652747154236,0.054345703125,0.00558916,420
25.77583939,113,90112,662.44,44,791,0.2,22.345585548505188,3.910649538040161,-0.0035891805804567412,0.0003,-0.9342962136492133,0.9347273111343384,0.08818359375,0.009970719,430
24.736793960000004,113,92160,644.84,45,808,0.2,161.36206968426706,11.749137878417969,-0.002012689116236288,0.0003,-1.0765016585588456,0.5969082713127136,0.010107421875,0.0049010767,440
29.531301279999997,113,94208,654.58,46,828,0.2,131.78688628673552,38.19377517700195,-0.005748482477065409,0.0003,-1.0145248275250196,0.6208223104476929,0.043115234375,0.009101321,450
30.93426006,112,96256,639.7,47,855,0.2,69.94176319986582,5.747248649597168,-0.0068096043120021935,0.0003,-0.9141912383958697,0.666431188583374,0.0923828125,0.0075982427,460
32.946388760000005,112,98304,634.71,48,874,0.2,202.38151076436043,113.85588836669922,-0.0053944573854096236,0.0003,-1.0632862757891417,0.6447581052780151,0.059326171875,0.008931445,470
