rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/value_loss,train/entropy_loss,train/clip_range
-112.64673125925928,47104,23,192,245,862.4629629629629,0.0003,0.875827431678772,0.090087890625,-0.006174622055550571,220,0.5065488815307617,0.009730169,0.04087971895933151,0.6648447656072676,-5.1623383775353435,0.2
-114.615303,49152,24,203,241,861.3157894736842,0.0003,0.8763517737388611,0.108154296875,-0.009935631963890046,230,0.9067533612251282,0.008329667,3.286571979522705,7.261611628159881,-5.144898337125778,0.2
-113.8301156779661,51200,25,218,234,861.1694915254237,0.0003,0.8769563436508179,0.022216796875,-0.004795122405630537,240,0.6890087127685547,0.0035834522,44.28905487060547,52.61062151268125,-5.146372710168362,0.2
-114.44990995081969,53248,26,233,227,857.8196721311475,0.0003,0.8788982629776001,0.12041015625,-0.008409884461434558,250,0.9281558990478516,0.008024705,0.03917383402585983,4.035794093622826,-5.150211679935455,0.2
-115.11441488888892,55296,27,248,222,876.5079365079365,0.0003,0.873403787612915,0.05126953125,-0.003376314221532084,260,0.8933253884315491,0.0059450213,2.8121445178985596,11.096326156985015,-5.14370945841074,0.2
-115.01188832307693,57344,28,263,217,874.9846153846154,0.0003,0.8707936406135559,0.074365234375,-0.007705496798735112,270,0.8991199135780334,0.009135189,6.071643829345703,5.267049343511462,-5.1250971570611,0.2
-115.53971753030305,59392,29,277,214,877.1060606060606,0.0003,0.8728159070014954,0.137841796875,-0.008742842698120512,280,0.8498456478118896,0.01169087,1.5350029468536377,7.605268576554954,-5.121957145631313,0.2
-114.81483766176473,61440,30,290,211,898.3676470588235,0.0003,0.867813229560852,0.0849609375,-0.007190839626127854,290,0.899131178855896,0.011074452,0.24589937925338745,3.5554300947114825,-5.11906708329916,0.2
-115.49124815714288,63488,31,304,208,896.7428571428571,0.0003,0.8570964932441711,0.16162109375,-0.009458513659774325,300,-0.6421538591384888,0.011125807,0.0669834315776825,0.29542952321935445,-5.076150034368038,0.2
-115.76467510958904,65536,32,318,205,897.2465753424658,0.0003,0.8550599217414856,0.046484375,-0.006233023951062932,310,0.9329372644424438,0.0051291287,3.2698118686676025,7.961876016668976,-5.052770800888538,0.2
