rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate
180.54632166,410.27,363,1024000,500,2820,10.72955322265625,0.8275721073150635,-0.0010642193097737617,4990,0.2,43.44071624577045,0.0034159003,0.051953125,-0.45022293785586953,0.0003
188.94986776,399.93,363,1026048,501,2826,34.23105239868164,0.6796950101852417,-0.0027913155092392115,5000,0.2,98.85624987781048,0.005340768,0.055078125,-0.4615110863931477,0.0003
189.78937846999997,396.11,363,1028096,502,2831,9.22439956665039,0.7758457660675049,-0.0024271029571536927,5010,0.2,36.80697429478168,0.0058792178,0.072021484375,-0.48724829573184253,0.0003
195.35184500000003,395.6,363,1030144,503,2836,11.161531448364258,0.8462865352630615,-0.0023090125221642667,5020,0.2,29.027857357263564,0.0055000605,0.05009765625,-0.46741452934220434,0.0003
190.93841636999997,374.8,363,1032192,504,2841,21.360029220581055,0.5346031188964844,-0.0059540924237808214,5030,0.2,144.00772681236268,0.0048059127,0.05126953125,-0.41833133697509767,0.0003
195.76671635000002,365.17,363,1034240,505,2847,23.211380004882812,0.5934226512908936,-0.0029932884935988113,5040,0.2,178.66885229945183,0.0031903647,0.027294921875,-0.44082918101921675,0.0003
196.69882888,355.82,363,1036288,506,2854,32.63673400878906,0.6518518924713135,-0.0009753348014783115,5050,0.2,121.22141430974007,0.0022097558,0.0201171875,-0.49064160995185374,0.0003
191.40999655000007,356.71,363,1038336,507,2860,17.739002227783203,0.6238496899604797,-0.0013275717588840052,5060,0.2,68.74027863144875,0.0057204943,0.062939453125,-0.5298842574469745,0.0003
190.68704775999998,356.7,363,1040384,508,2865,9.089166641235352,0.7069809436798096,-0.005715121733373962,5070,0.2,75.25019015073777,0.0052755773,0.045068359375,-0.5090787375345827,0.0003
191.50272077000002,368.91,363,1042432,509,2870,109.23681640625,0.7340971231460571,-0.0034677498682867736,5080,0.2,191.64935270547866,0.0051219068,0.057568359375,-0.42461601095274093,0.0003
191.47706780999997,350.38,363,1044480,510,2876,52.192684173583984,0.8455120325088501,-0.0011755100509617477,5090,0.2,82.95656061172485,0.004209127,0.02783203125,-0.3814450740814209,0.0003
195.76119079999998,351.85,363,1046528,511,2881,32.09507751464844,0.6891167759895325,-0.0021939201251370832,5100,0.2,84.44135231375694,0.004465125,0.061181640625,-0.45701204482465985,0.0003
194.99786549000004,357.64,363,1048576,512,2887,24.067138671875,0.804530143737793,-0.0017215402171132156,5110,0.2,103.65346526503563,0.0039266385,0.054541015625,-0.4124667325057089,0.0003
193.67542332000002,349.31,363,1050624,513,2892,6.329286575317383,0.7510275840759277,0.0007860122510464862,5120,0.2,27.342946679890154,0.005480867,0.075341796875,-0.5649731203913688,0.0003
196.12432636000003,341.57,363,1052672,514,2898,4.91281795501709,0.8167956471443176,-0.004043352733424399,5130,0.2,41.98645564615727,0.0059413984,0.058544921875,-0.5015675189904869,0.0003
198.04453090000004,348.91,363,1054720,515,2904,9.797746658325195,0.7365570068359375,-0.0025767866376554594,5140,0.2,63.81446913182735,0.004367961,0.055712890625,-0.4578689781948924,0.0003
198.30906889999997,353.51,363,1056768,516,2909,11.071432113647461,0.8466232419013977,-0.004109741418506019,5150,0.2,20.99903078302741,0.018139455,0.122705078125,-0.5084109482355416,0.0003
192.33281638999998,351.67,363,1058816,517,2914,21.135969161987305,0.656926155090332,-0.003432563396927435,5160,0.2,97.95197103619576,0.008292637,0.055126953125,-0.45644582686945795,0.0003
190.58130854000004,358.56,363,1060864,518,2919,50.455780029296875,0.4864814281463623,-0.004674829711439088,5170,0.2,224.13573003411292,0.0028494927,0.028515625,-0.43767539905384184,0.0003
185.19729368999998,357.39,363,1062912,519,2925,5.4617438316345215,0.8780181407928467,0.00019809750810964032,5180,0.2,15.454254457354546,0.012189956,0.112841796875,-0.6101041331887245,0.0003
186.61963605000005,362.16,363,1064960,520,2930,12.3816556930542,0.7468564510345459,-0.0008549014179152437,5190,0.2,94.05654059052468,0.0033310056,0.061669921875,-0.5382748853415251,0.0003
181.75599230000003,362.45,363,1067008,521,2935,49.48357391357422,0.6121097803115845,-0.002560735879524145,5200,0.2,70.01417024433613,0.004736124,0.041748046875,-0.3622261238284409,0.0003
187.27407384000006,370.25,363,1069056,522,2941,58.7907829284668,0.5503274202346802,-0.0025496676840703002,5210,0.2,169.02765540480613,0.003926738,0.030126953125,-0.4355777512304485,0.0003
189.28171882999996,378.34,363,1071104,523,2946,55.40242004394531,0.7558396458625793,-0.0022566607512999326,5220,0.2,137.65663504600525,0.008578533,0.0423828125,-0.3717006119899452,0.0003
188.84848723,372.77,363,1073152,524,2951,13.836668014526367,0.9136639833450317,-0.0036037877551279964,5230,0.2,27.4281875371933,0.00584294,0.0609375,-0.4378006041049957,0.0003
192.0516046,365.73,363,1075200,525,2956,29.002798080444336,0.7177574634552002,-0.0018053295149002223,5240,0.2,100.62008389234543,0.0031886832,0.048779296875,-0.4019196064211428,0.0003
196.57551911000002,372.79,363,1077248,526,2962,15.292624473571777,0.7397876977920532,-0.0026893458867562003,5250,0.2,82.49457550048828,0.0031558606,0.056005859375,-0.3989047218114138,0.0003
193.88660034,361.86,363,1079296,527,2967,11.937308311462402,0.6541208028793335,-0.004507308932079468,5260,0.2,83.21237388849258,0.0053570857,0.05986328125,-0.40824390733614563,0.0003
198.25375083000003,365.65,363,1081344,528,2973,21.01560401916504,0.6863487958908081,-0.0015151763102039695,5270,0.2,74.48905425071716,0.004521045,0.044384765625,-0.4262493597343564,0.0003
196.05998014999997,374.29,363,1083392,529,2978,18.97306251525879,0.8181329369544983,-0.0012976264042663388,5280,0.2,72.00393202602864,0.004270998,0.040234375,-0.3281784917227924,0.0003
196.21974473000003,371.53,363,1085440,530,2985,5.918734073638916,0.8561148047447205,-0.0026102225616341456,5290,0.2,37.443249973654744,0.010235988,0.097802734375,-0.5677257186733187,0.0003
191.51761894,369.01,363,1087488,531,2991,6.348421573638916,0.8765499591827393,0.00019563792448025198,5300,0.2,21.65935574620962,0.008421894,0.10048828125,-0.5596797748468816,0.0003
187.70038610000003,373.6,363,1089536,532,2996,14.794817924499512,0.8093717098236084,-0.0015460965369129553,5310,0.2,52.711577880382535,0.0055090403,0.059814453125,-0.4757167832925916,0.0003
188.14715945000003,357.2,363,1091584,533,3001,55.64326858520508,0.33624887466430664,-0.0037045496501377784,5320,0.2,167.0021332383156,0.010590407,0.06904296875,-0.5354167849756777,0.0003
194.51320409999997,358.15,363,1093632,534,3006,16.855510711669922,0.7276720404624939,-0.0009989085476263427,5330,0.2,76.36061112880707,0.0058597373,0.05224609375,-0.4541708780452609,0.0003
