rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction
-109.07733550000002,75776,195,387,37,870.6279069767442,-4.685989324748516,7.418901338987053,7.136112689971924,0.0003,0.7817373275756836,0.2,0.016364727,-0.005244081895216368,360,0.8794659376144409,0.093212890625
-108.92920781609196,77824,200,387,38,879.0114942528736,-4.68492478877306,13.586042254045605,16.743684768676758,0.0003,0.7809401750564575,0.2,0.006922777,-0.005808907939353958,370,0.9464526176452637,0.05498046875
-109.07504322222222,79872,205,388,39,880.5222222222222,-4.662557117640972,0.6201406601816416,0.1835808902978897,0.0003,0.7717093229293823,0.2,0.010598409,-0.00636694975401042,380,-0.33590400218963623,0.091552734375
-108.90540295604396,81920,210,388,40,888.4285714285714,-4.632391172647476,7.015160105749965,1.6157739162445068,0.0003,0.770560622215271,0.2,0.0073743295,-0.007148384168976918,390,0.9513293504714966,0.06572265625
-108.70507102173914,83968,216,388,41,896.1630434782609,-4.623370485007763,0.9562218331964687,0.5885457992553711,0.0003,0.769090473651886,0.2,0.010990616,-0.011825069182668813,400,0.2636529207229614,0.12666015625
-108.69918811578948,86016,220,389,42,895.0526315789474,-4.589875477552414,0.07396641796221956,-0.0026923343539237976,0.0003,0.7583281993865967,0.2,0.010149635,-0.011045069678220897,410,0.7937918901443481,0.138623046875
-108.59487975,88064,226,389,43,902.3958333333334,-4.5641894593834875,7.081726727169007,0.38705533742904663,0.0003,0.7580811977386475,0.2,0.0069615524,-0.00639034780615475,420,0.9092000126838684,0.0466796875
-108.82246145454545,90112,231,389,44,904.7878787878788,-4.5427618533372875,0.02813923218054697,-0.0007118768990039825,0.0003,0.7503154277801514,0.2,0.011390404,-0.00792114188952837,430,0.8271656036376953,0.11005859375
-108.64110747,92160,236,389,45,920.28,-4.519460029900074,5.931919706612826,0.773052453994751,0.0003,0.7494214773178101,0.2,0.00777647,-0.005090213817311451,440,0.9688076972961426,0.048095703125
-108.31212061999999,94208,241,390,46,935.75,-4.514059706032276,3.1102911275811493,0.3200784921646118,0.0003,0.7477436661720276,0.2,0.009967398,-0.007970738998847083,450,0.9692255258560181,0.095654296875
-108.23492356999999,96256,246,390,47,951.22,-4.482366801798344,0.1539012063178234,0.05216289684176445,0.0003,0.7390664219856262,0.2,0.009588203,-0.011233322886982932,460,0.845288872718811,0.122705078125
-107.75052679000001,98304,251,391,48,966.3,-4.445247335731983,0.1077031089225784,0.038879454135894775,0.0003,0.733115553855896,0.2,0.013384059,-0.00857212966948282,470,0.9191192984580994,0.15234375
-107.53674237999999,100352,256,391,49,985.35,-4.399925906956196,0.24893971187993885,0.07966787368059158,0.0003,0.7234140038490295,0.2,0.010715444,-0.008377331466181203,480,0.39808517694473267,0.098291015625
-106.44010113,102400,261,392,50,1000.46,-4.37446818202734,5.334107709489762,3.488670587539673,0.0003,0.7223275899887085,0.2,0.008717844,-0.0070644708961481225,490,0.9132621884346008,0.068310546875
-105.97120043999999,104448,266,392,51,1018.61,-4.354976859688759,0.5890994535759091,0.17693156003952026,0.0003,0.7182179093360901,0.2,0.009029818,-0.009796176714007742,500,-0.11838269233703613,0.107763671875
-105.69918403,106496,271,392,52,1033.83,-4.343922297656536,6.327586568053812,1.057938814163208,0.0003,0.7173800468444824,0.2,0.008437309,-0.005079470411874354,510,0.8049818277359009,0.062548828125
-105.35729582000002,108544,276,393,53,1021.81,-4.319093471765518,0.163085597474128,0.03140890225768089,0.0003,0.70974200963974,0.2,0.014150834,-0.011617602150363383,520,0.7292487621307373,0.183642578125
-105.01120109000001,110592,281,393,54,1037.22,-4.297290766239167,8.315253082849086,8.388471603393555,0.0003,0.7097722291946411,0.2,0.005085095,-0.006469388256664388,530,0.8689567446708679,0.07265625
-104.65417178000001,112640,286,393,55,1068.24,-4.271380965411663,0.7925388562027365,0.09387355297803879,0.0003,0.7001367807388306,0.2,0.012592502,-0.009914964495692402,540,0.3334755301475525,0.1310546875
-104.43121646000002,114688,290,394,56,1068.24,-4.2427451610565186,0.4995769131463021,0.13134659826755524,0.0003,0.7001959681510925,0.2,0.012728522,-0.013031330227386206,550,-0.5816402435302734,0.158984375
-103.86943862999999,116736,295,394,57,1070.59,-4.211095334589482,0.3077354964800179,0.1438898742198944,0.0003,0.6901810169219971,0.2,0.01392168,-0.013518026552628726,560,0.5902618169784546,0.15009765625
-103.60533586999998,118784,300,394,58,1080.44,-4.183008180558682,2.571985279582441,1.0858793258666992,0.0003,0.6900282502174377,0.2,0.0121552115,-0.006964194105239585,570,0.8960567116737366,0.115087890625
-103.31085291999997,120832,305,395,59,1080.7,-4.183096136152744,3.840389785449952,0.2917822301387787,0.0003,0.6899781823158264,0.2,0.007668578,-0.005577697270200588,580,0.8426860570907593,0.084619140625
-102.64578891000001,122880,310,395,60,1096.97,-4.184557914733887,12.076228802278639,6.571547508239746,0.0003,0.6909165382385254,0.2,0.008615524,-0.004812420817324891,590,0.8602734208106995,0.054833984375
-102.78890474999999,124928,315,395,61,1094.92,-4.185858096182346,24.025681633502245,1.2415223121643066,0.0003,0.6903920769691467,0.2,0.007134557,-0.006061797559959814,600,0.8356419205665588,0.04921875
-102.63568502999999,126976,320,396,62,1109.91,-4.18439736366272,57.51064610034227,11.34003734588623,0.0003,0.6903203129768372,0.2,0.005661956,-0.004827878350624815,610,0.8451507687568665,0.027587890625
-101.92438517,129024,325,396,63,1140.2,-4.146110965311527,0.3086555673973635,0.11459920555353165,0.0003,0.6779259443283081,0.2,0.010406779,-0.011461513288668356,620,-0.18110191822052002,0.14580078125
-101.84533246999999,131072,330,396,64,1115.06,-4.075649799406529,0.5680693810805678,0.26614344120025635,0.0003,0.666881263256073,0.2,0.0118995635,-0.009382556055788882,630,0.4080997705459595,0.1349609375
-101.19058557999999,133120,335,396,65,1118.67,-4.0488258510828015,15.800723001733422,3.0009567737579346,0.0003,0.668328046798706,0.2,0.0058993837,-0.007661526612355374,640,0.904497504234314,0.037890625
-100.30434887,135168,340,396,66,1133.95,-4.0566602677106856,9.591777306050062,5.102225303649902,0.0003,0.6688092947006226,0.2,0.007743976,-0.009475876543729101,650,0.9410567283630371,0.100244140625
