time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/std
141,1505,104,1320.74,212992,62.83256684,0.2,0.04826367646455765,0.7619603872299194,-0.009292029502103106,0.18994140625,0.016079657,0.32028432404622437,-2.5385549776256084,0.0003,1030,0.4586692750453949
141,1521,105,1320.74,215040,64.44845505,0.2,0.0929202064871788,0.9153774976730347,-0.013996606899308973,0.191650390625,0.015213639,0.2739224175689742,-2.5033397026360036,0.0003,1040,0.4546542167663574
141,1537,106,1304.3,217088,65.42281906,0.2,0.2478083074092865,0.8909807205200195,-0.011361551481240895,0.16240234375,0.013905842,0.3914521195925772,-2.4778771795332433,0.0003,1050,0.45200884342193604
141,1553,107,1304.3,219136,67.10041984,0.2,2.101069927215576,0.9305726885795593,-0.008923173787479755,0.093408203125,0.011291768,5.085792638733983,-2.4695595271885393,0.0003,1060,0.4521736800670624
140,1569,108,1297.5,221184,68.25184210999998,0.2,0.041456952691078186,0.8283765316009521,-0.012397571082692594,0.18974609375,0.014319835,0.31210526269860567,-2.43580112606287,0.0003,1070,0.44510626792907715
140,1584,109,1303.71,223232,70.45892072999999,0.2,1.6890419721603394,0.9617039561271667,-0.009548611941863783,0.1708984375,0.012131184,3.4992171487770976,-2.4085965432226657,0.0003,1080,0.4455466866493225
140,1599,110,1298.73,225280,70.18099011999999,0.2,3.250387668609619,0.9201734662055969,-0.005940719289355911,0.098388671875,0.010096994,12.701781592518092,-2.4184256181120873,0.0003,1090,0.44673624634742737
140,1614,111,1298.73,227328,71.51268457,0.2,1.5501582622528076,0.9126797318458557,-0.008465735985373613,0.096240234375,0.010334577,12.112284034863114,-2.4228339374065397,0.0003,1100,0.44624847173690796
140,1630,112,1285.31,229376,72.57635115,0.2,0.06170843541622162,0.3538097143173218,-0.01062864538980648,0.2291015625,0.017263524,0.4850851592607796,-2.3876670695841313,0.0003,1110,0.4404560327529907
140,1645,113,1258.32,231424,69.73066219000002,0.2,2.1848466396331787,0.9072993397712708,-0.00810284801700618,0.178857421875,0.014616097,12.609592100605369,-2.369444917142391,0.0003,1120,0.44261300563812256
140,1661,114,1258.32,233472,70.63448132,0.2,6.3334641456604,0.8292872905731201,-0.0075769320654217156,0.06005859375,0.0066881715,53.106802673637866,-2.3802267014980316,0.0003,1130,0.44269615411758423
140,1676,115,1258.32,235520,71.68882207,0.2,0.23034554719924927,0.6665393114089966,-0.015082799308584072,0.241162109375,0.019266361,0.6499732566066087,-2.3395082376897336,0.0003,1140,0.4353407025337219
140,1692,116,1254.1,237568,72.15221795,0.2,0.24981321394443512,0.852998673915863,-0.006419244462449569,0.186083984375,0.016454132,0.711204594001174,-2.312900134921074,0.0003,1150,0.43516138195991516
140,1707,117,1239.71,239616,70.11619972999999,0.2,0.5005886554718018,0.9025129675865173,-0.004664888541446999,0.124951171875,0.010536149,8.519526200555266,-2.31011673361063,0.0003,1160,0.43399903178215027
140,1722,118,1227.54,241664,69.17709373999999,0.2,2.107262372970581,0.9632127285003662,-0.008354437454545404,0.087353515625,0.0064756908,9.01316395998001,-2.3009350806474687,0.0003,1170,0.4331994950771332
140,1738,119,1210.69,243712,66.72794176,0.2,1.0023107528686523,0.9557592868804932,-0.008640309088514186,0.12626953125,0.011268297,8.660291782021522,-2.299610863626003,0.0003,1180,0.43317750096321106
139,1759,120,1193.28,245760,63.88937192999999,0.2,9.605775833129883,0.946465253829956,-0.007867800380336121,0.102685546875,0.011978694,16.825189228355885,-2.298229017108679,0.0003,1190,0.4332386255264282
139,1772,121,1180.75,247808,61.99283826999999,0.2,28.351465225219727,0.8968073725700378,-0.010889949894044548,0.126513671875,0.011550173,28.47469634115696,-2.2941880740225313,0.0003,1200,0.43254461884498596
139,1786,122,1180.75,249856,62.582096359999994,0.2,27.254831314086914,0.9339892864227295,-0.007392471322964412,0.158349609375,0.012488738,15.941911272704601,-2.279563943296671,0.0003,1210,0.42932015657424927
139,1801,123,1196.21,251904,65.33245671,0.2,0.402190238237381,0.3556637167930603,-0.009075926104560494,0.2255859375,0.021793002,0.9839357583783567,-2.227027640491724,0.0003,1220,0.4231245815753937
207,9,1,1198.8,253952,64.48344407,0.2,0.17109377682209015,0.8378667235374451,-0.009073905998957344,0.21953125,0.022493107,0.3699683304876089,-2.18744186013937,0.0003,1230,0.42066407203674316
170,24,2,1198.8,256000,62.68427864000001,0.2,0.1144181564450264,0.6101126670837402,-0.009617364086443559,0.191455078125,0.014410146,0.7216778745874762,-2.177721298485994,0.0003,1240,0.41955095529556274
155,39,3,1175.08,258048,59.42998668999999,0.2,0.2965098023414612,0.8867747783660889,-0.014980291530082467,0.197509765625,0.015938662,0.769212232157588,-2.144803235679865,0.0003,1250,0.41452741622924805
150,54,4,1162.78,260096,55.316739420000005,0.2,11.789854049682617,0.5839830636978149,-0.006447601999389008,0.08837890625,0.006859779,69.73002586215735,-2.119768016040325,0.0003,1260,0.41390088200569153
147,69,5,1146.47,262144,50.33851485000001,0.2,20.033618927001953,0.7479163408279419,-0.006949852174147964,0.049755859375,0.004975929,43.1792684584856,-2.1163150012493133,0.0003,1270,0.4134499132633209
145,84,6,1077.14,264192,38.89636977,0.2,56.44040298461914,0.7989006042480469,-0.007406970497686416,0.07353515625,0.005411773,57.427928027510646,-2.1141309797763825,0.0003,1280,0.41356202960014343
143,99,7,1039.42,266240,32.28319407,0.2,31.855154037475586,0.8411025404930115,-0.007151146611431613,0.035400390625,0.00532501,79.11149916648864,-2.113162725418806,0.0003,1290,0.41319966316223145
142,114,8,1040.7,268288,30.601994319999996,0.2,11.675782203674316,0.8186013698577881,-0.0068732532701687886,0.079150390625,0.00837711,57.697764763236044,-2.1113710470497606,0.0003,1300,0.4134080410003662
141,129,9,1041.41,270336,28.537478719999996,0.2,11.5897798538208,0.7270346879959106,-0.007801186107099056,0.145458984375,0.013979158,40.7967149913311,-2.1177546471357345,0.0003,1310,0.41469210386276245
141,145,10,1040.5,272384,25.39123081999999,0.2,2.4485533237457275,0.8484792113304138,-0.006850597271113657,0.1583984375,0.010278,11.641657757759095,-2.1129738584160807,0.0003,1320,0.41222700476646423
140,159,11,1040.5,274432,23.35654548,0.2,17.858348846435547,0.7234418392181396,-0.012183337137685157,0.28203125,0.029227093,20.65831235125661,-2.1143583469092846,0.0003,1330,0.4144321084022522
140,174,12,1060.14,276480,23.902562230000004,0.2,0.42294615507125854,0.03497117757797241,-0.007742673312895932,0.265380859375,0.025134,1.7270907481200992,-2.1058468006551267,0.0003,1340,0.409865140914917
140,189,13,1029.59,278528,18.271701820000004,0.2,5.273048400878906,0.7847127914428711,-0.00494793449761346,0.1958984375,0.021918293,7.581235198304057,-2.080413771420717,0.0003,1350,0.4100677967071533
140,204,14,1029.94,280576,16.281704620000006,0.2,4.972747325897217,0.842216432094574,-0.0068543710498488505,0.123681640625,0.01051929,30.71233579777181,-2.080188478529453,0.0003,1360,0.41048964858055115
139,219,15,999.35,282624,9.003916590000003,0.2,6.169038772583008,0.7958030104637146,-0.00447511744860094,0.15107421875,0.016973425,10.331436578929424,-2.091715098917484,0.0003,1370,0.41190028190612793
139,234,16,1002.79,284672,9.05374791,0.2,20.273954391479492,0.9036365747451782,-0.008515677499235607,0.13828125,0.011075105,33.15017288029194,-2.0939261466264725,0.0003,1380,0.4107043743133545
139,249,17,1002.92,286720,8.236246849999997,0.2,1.8160295486450195,0.7753061652183533,-0.008931682383990846,0.169677734375,0.015926529,16.79595456570387,-2.0776691541075705,0.0003,1390,0.40893101692199707
139,264,18,982.08,288768,1.773345369999998,0.2,28.175920486450195,0.6503702402114868,-0.006981864041881636,0.19140625,0.017359426,42.85572737529874,-2.0675896726548673,0.0003,1400,0.4090003967285156
139,279,19,929.54,290816,-7.168100389999999,0.2,29.589859008789062,0.79609215259552,-0.007832632400095463,0.091259765625,0.009533156,68.11230022907257,-2.06866347938776,0.0003,1410,0.4093565344810486
139,294,20,892.08,292864,-14.56227191,0.2,44.87570571899414,0.7724871039390564,-0.009364102929248474,0.10244140625,0.011564851,54.74940565228462,-2.0637037694454192,0.0003,1420,0.40800172090530396
139,309,21,879.0,294912,-18.79095621,0.2,14.87427806854248,0.8588793277740479,-0.013379708447610028,0.136669921875,0.01306295,30.823756486177444,-2.0499370843172073,0.0003,1430,0.4069758653640747
138,324,22,881.07,296960,-21.547226160000005,0.2,1.9830241203308105,0.9175963401794434,-0.012242065547616221,0.20107421875,0.01732713,12.75482148528099,-2.04332502707839,0.0003,1440,0.40646371245384216
138,339,23,826.02,299008,-34.290734699999994,0.2,9.771204948425293,0.9138599634170532,-0.008011939135030843,0.19228515625,0.014570669,15.848250993713737,-2.0283721171319486,0.0003,1450,0.40417739748954773
138,354,24,813.96,301056,-38.01691442,0.2,17.34346580505371,0.8429670929908752,-0.0040864964190404866,0.134375,0.013060061,38.14435172975063,-2.0211789973080156,0.0003,1460,0.40437862277030945
138,369,25,813.96,303104,-40.47418634,0.2,6.85899019241333,0.8471486568450928,-0.009981647031963803,0.201171875,0.01394285,15.124896948039531,-2.0391789600253105,0.0003,1470,0.40718066692352295
138,384,26,787.55,305152,-45.50967194,0.2,1.4983971118927002,-0.26745808124542236,-0.0038343068328686057,0.30263671875,0.027235787,2.6608388468623163,-2.0444630429148676,0.0003,1480,0.4058837294578552
138,399,27,766.76,307200,-53.316429420000006,0.2,15.145855903625488,0.9175764918327332,-0.012128140148706733,0.142822265625,0.012250428,27.996679179370403,-2.0309473484754563,0.0003,1490,0.40563440322875977
138,414,28,773.27,309248,-53.751245739999995,0.2,37.96240997314453,0.8007001876831055,-0.010102181212278082,0.101025390625,0.011626386,43.488045969605444,-2.0308674313127995,0.0003,1500,0.4057498574256897
138,429,29,788.34,311296,-54.54214628999999,0.2,0.5135512351989746,-0.7113544940948486,-0.0002747776510659605,0.2798828125,0.026093172,1.9160732934251428,-2.0492733493447304,0.0003,1510,0.40852051973342896
138,444,30,788.34,313344,-57.084938199999996,0.2,0.6586256623268127,0.5417836904525757,-0.008113035297719761,0.196533203125,0.018724587,17.206873629614712,-2.0622032575309275,0.0003,1520,0.4089738130569458
137,460,31,788.34,315392,-59.70240359,0.2,0.5096527934074402,0.6709930896759033,-0.008960999213741161,0.249560546875,0.022826787,1.4223092002794147,-2.0516821436583994,0.0003,1530,0.40652891993522644
137,475,32,771.14,317440,-64.69095267,0.2,0.19717338681221008,0.6046677827835083,-0.013138365215854719,0.23154296875,0.020584155,0.6397711875848472,-1.997370483353734,0.0003,1540,0.3991985023021698
137,490,33,763.95,319488,-67.08048707,0.2,2.9941110610961914,0.7949295043945312,-0.00763610903522931,0.136328125,0.010141764,24.294883707910778,-1.966322274506092,0.0003,1550,0.39920535683631897
137,505,34,767.67,321536,-67.3050866,0.2,17.7662296295166,0.8336137533187866,-0.01022014430782292,0.13095703125,0.011544999,16.766020331904294,-1.9631487108767032,0.0003,1560,0.39904600381851196
137,520,35,744.87,323584,-72.36725335999999,0.2,1.8835831880569458,0.6850566864013672,-0.00668632953602355,0.113623046875,0.0103941765,18.47452007755637,-1.9586550291627645,0.0003,1570,0.39848440885543823
137,535,36,736.74,325632,-76.82240312,0.2,8.742754936218262,0.8621087074279785,-0.00799615733558312,0.06611328125,0.0069982014,35.97925933599472,-1.9571995880454778,0.0003,1580,0.39863014221191406
137,550,37,709.3,327680,-77.15724171,0.2,1.6519793272018433,0.9359727501869202,-0.010303262172965334,0.144921875,0.015153838,13.498466585576534,-1.945840062201023,0.0003,1590,0.39624130725860596
137,564,38,717.19,329728,-76.39779813,0.2,2.7652087211608887,0.8529946208000183,-0.013437059242278337,0.1607421875,0.014002401,19.807209745794534,-1.9291559424251319,0.0003,1600,0.39545971155166626
137,579,39,723.53,331776,-76.34062508,0.2,8.656681060791016,0.9315594434738159,-0.009870980819687247,0.117529296875,0.011851907,23.47459423318505,-1.9133073553442954,0.0003,1610,0.39349687099456787
137,595,40,714.94,333824,-75.29443684,0.2,0.6446449160575867,-0.1590665578842163,-0.006953471625456587,0.2470703125,0.020768352,1.808516139909625,-1.9092742010951043,0.0003,1620,0.39477720856666565
137,610,41,724.14,335872,-73.54750243999999,0.2,0.846318781375885,0.8055377006530762,-0.00887273614644073,0.1916015625,0.014869479,7.31301676146686,-1.8997878082096578,0.0003,1630,0.3924620449542999
137,625,42,738.43,337920,-73.54961078,0.2,35.30894088745117,0.8609707951545715,-0.007191493242862635,0.09560546875,0.00858544,60.85886805057525,-1.885987402126193,0.0003,1640,0.3922504186630249
137,640,43,745.12,339968,-73.92792931000001,0.2,0.2793062925338745,0.30124515295028687,-0.008621925010811538,0.265625,0.02602456,0.8416459948755801,-1.8741194561123848,0.0003,1650,0.39101293683052063
138,651,44,759.39,342016,-73.93254568000002,0.2,2.022665023803711,0.8696502447128296,-0.008565428201109171,0.1609375,0.011816767,11.735089075192809,-1.8740125209093095,0.0003,1660,0.3912123441696167
139,661,45,761.36,344064,-74.92078054000001,0.2,1.1410001516342163,0.3710829019546509,-0.012202874902868643,0.193408203125,0.017703235,2.6999571792781354,-1.8573926795274018,0.0003,1670,0.38729289174079895
140,669,46,773.75,346112,-73.97053679000001,0.2,10.179030418395996,0.8740187287330627,-0.011198768758913503,0.150830078125,0.01180548,16.96666969768703,-1.8330615319311618,0.0003,1680,0.3867288827896118
141,677,47,784.46,348160,-73.75187505,0.2,0.293722003698349,0.7217786312103271,-0.008057793117768598,0.244921875,0.017883878,0.9739692763425409,-1.816411517187953,0.0003,1690,0.3834072947502136
143,686,48,770.78,350208,-72.39185829,0.2,10.427106857299805,0.7171133756637573,-0.004578768403735012,0.156884765625,0.013906669,14.264916783943772,-1.7947279367595912,0.0003,1700,0.3821917772293091
144,696,49,766.84,352256,-73.28736533,0.2,0.820838451385498,0.7600477337837219,-0.007206621280056424,0.190771484375,0.01215785,15.61716893054545,-1.7891938991844654,0.0003,1710,0.3826557397842407
145,704,50,766.84,354304,-73.22831049,0.2,6.121889591217041,0.7904007434844971,-0.008066733120358549,0.161474609375,0.020594822,10.792834229022265,-1.7920654866844417,0.0003,1720,0.382939875125885
146,712,51,781.17,356352,-72.29371900000001,0.2,0.7195614576339722,0.7616828680038452,-0.009951954701682553,0.231982421875,0.01955788,1.6471278136596084,-1.809748301282525,0.0003,1730,0.3854597806930542
147,720,52,780.34,358400,-71.50017706,0.2,5.716920375823975,0.8227367997169495,-0.010130539030069486,0.139501953125,0.012466405,31.179611138254405,-1.8117227111011744,0.0003,1740,0.38370054960250854
148,728,53,777.73,360448,-71.47760413,0.2,1.4461474418640137,0.8847836852073669,-0.0075826132000656795,0.135546875,0.010832233,18.190861847251654,-1.7979935325682164,0.0003,1750,0.38238781690597534
150,736,54,783.48,362496,-71.84221645,0.2,44.64030075073242,0.86474609375,-0.007265657374227885,0.087548828125,0.008031546,47.271236923336986,-1.790997725725174,0.0003,1760,0.3822271227836609
151,744,55,786.63,364544,-73.41139738,0.2,2.227703332901001,0.6264216899871826,-0.00805396268988261,0.154638671875,0.014564631,8.09949062615633,-1.7860555473715067,0.0003,1770,0.3809797763824463
152,752,56,800.06,366592,-73.08932739,0.2,2.2196671962738037,0.8801441788673401,-0.004090461868327111,0.177294921875,0.014739063,8.027379618212581,-1.778095829486847,0.0003,1780,0.3811948299407959
153,759,57,801.69,368640,-73.13179951000001,0.2,0.25636908411979675,0.45526206493377686,-0.00871277391561307,0.27138671875,0.02668152,1.170523569267243,-1.8272567048668862,0.0003,1790,0.3881168067455292
154,767,58,822.81,370688,-73.11510217,0.2,3.7788000106811523,0.7855111956596375,-0.01075647015532013,0.158154296875,0.01137311,41.54331847727299,-1.8573555447161199,0.0003,1800,0.38859543204307556
156,774,59,832.35,372736,-72.66578086,0.2,2.24828839302063,0.9546051621437073,-0.007062452816171572,0.173974609375,0.0133933,3.616681526042521,-1.8343395251780747,0.0003,1810,0.38387054204940796
157,781,60,830.57,374784,-73.16665536000001,0.2,21.280460357666016,0.9280273914337158,-0.007754673506133259,0.10205078125,0.009463928,36.060321322083475,-1.8027048487216235,0.0003,1820,0.38286566734313965
158,789,61,844.37,376832,-72.58015379,0.2,1.9518272876739502,0.9167608618736267,-0.011593414668459446,0.153076171875,0.012062046,12.833590624108911,-1.7963248383253814,0.0003,1830,0.3825390040874481
159,796,62,856.9,378880,-72.80648302,0.2,3.0143532752990723,0.9303421974182129,-0.00930784572265111,0.128857421875,0.014920456,15.931924460083247,-1.795086759701371,0.0003,1840,0.3823562562465668
160,803,63,834.9,380928,-72.9207902,0.2,2.9400551319122314,0.9141300916671753,-0.011727915316441795,0.155419921875,0.012572271,17.941686134040356,-1.7956319082528354,0.0003,1850,0.3832114338874817
161,810,64,839.41,382976,-72.47101255999999,0.2,23.045494079589844,0.947160542011261,-0.012003670021658763,0.136474609375,0.01396676,21.519369496405126,-1.7934493348002434,0.0003,1860,0.38209813833236694
163,816,65,848.41,385024,-73.00070384,0.2,1.5424926280975342,0.9569123387336731,-0.00820773332961835,0.226513671875,0.021185571,4.391803908348083,-1.8235656589269638,0.0003,1870,0.3877246379852295
164,823,66,877.31,387072,-72.27293441,0.2,10.547484397888184,0.935479998588562,-0.00921836604247801,0.15908203125,0.013231623,16.65205576568842,-1.8419534698128701,0.0003,1880,0.3864535093307495
165,829,67,876.58,389120,-72.25425649,0.2,1.742777943611145,0.2984619140625,-0.006373573406017385,0.234375,0.029543573,4.706884736567735,-1.8187548521906138,0.0003,1890,0.38398921489715576
166,835,68,870.59,391168,-72.00123821,0.2,5.201616287231445,0.9330810904502869,-0.014934750861721113,0.199462890625,0.015372877,12.424979580938816,-1.8135479252785445,0.0003,1900,0.38487672805786133
167,842,69,864.53,393216,-72.09927922000001,0.2,17.200733184814453,0.8901717066764832,-0.011043795946170576,0.158447265625,0.019351706,33.77034514993429,-1.8101969555020332,0.0003,1910,0.38297271728515625
168,848,70,864.08,395264,-72.75711668000001,0.2,16.37092399597168,0.9246037006378174,-0.010948911591549404,0.193798828125,0.016265888,21.07356289178133,-1.792609053105116,0.0003,1920,0.38177210092544556
169,856,71,858.04,397312,-72.21606166999999,0.2,0.5174337029457092,-0.028769493103027344,-0.006100212185992859,0.352734375,0.03251885,23.45027146935463,-1.7907353471964598,0.0003,1930,0.38310766220092773
171,862,72,844.7,399360,-71.68345436999999,0.2,3.3783607482910156,0.9355977177619934,-0.008539183856919407,0.183837890625,0.017305693,7.36197767034173,-1.8089126653969287,0.0003,1940,0.3846108317375183
172,868,73,838.17,401408,-71.85416162999998,0.2,0.1884097456932068,0.9573445916175842,-0.007476454417337663,0.268408203125,0.023483733,1.4925338355824351,-1.7997611489146947,0.0003,1950,0.38208985328674316
173,875,74,850.98,403456,-70.67387163999999,0.2,7.138933181762695,0.9513885378837585,-0.010237876872997731,0.196240234375,0.014501058,5.126835604198277,-1.7865066640079021,0.0003,1960,0.3811594843864441
174,881,75,864.37,405504,-69.97226581,0.2,8.600811958312988,0.6423264145851135,-0.009220298269065097,0.193603515625,0.021605618,13.291466511040927,-1.7825957749038934,0.0003,1970,0.3806762099266052
175,887,76,850.08,407552,-71.69543641,0.2,10.759532928466797,0.9310853481292725,-0.008119065125356428,0.095654296875,0.008979898,19.15740987062454,-1.7796719010919333,0.0003,1980,0.3808738887310028
176,893,77,870.15,409600,-72.00339659,0.2,3.8563945293426514,0.9481172561645508,-0.01009795134596061,0.16826171875,0.014212305,15.615048579871655,-1.7675994031131268,0.0003,1990,0.378604531288147
177,900,78,873.03,411648,-72.10192167,0.2,4.4722208976745605,0.8528709411621094,-0.00979156508401502,0.10634765625,0.011154942,30.326181399822236,-1.760130976140499,0.0003,2000,0.3795849680900574
178,907,79,877.39,413696,-73.70892273999999,0.2,16.965129852294922,0.9044396877288818,-0.009215696720639243,0.124609375,0.01237472,20.77130790054798,-1.7742244090884924,0.0003,2010,0.38077259063720703
179,913,80,866.32,415744,-73.96472942999999,0.2,2.462698459625244,0.9024733304977417,-0.009555099630961194,0.16748046875,0.016677285,16.676675725728273,-1.783612522855401,0.0003,2020,0.38140255212783813
180,919,81,866.32,417792,-73.73417955000001,0.2,17.970476150512695,0.7717248201370239,-0.008001388938282616,0.09423828125,0.008668965,57.279465064406395,-1.789940468221903,0.0003,2030,0.3815457820892334
181,925,82,868.14,419840,-74.95800175,0.2,0.6963703036308289,0.2687685489654541,-0.0057271702971775085,0.296044921875,0.023481688,1.858006277307868,-1.778831597417593,0.0003,2040,0.3799976110458374
