time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/std,train/learning_rate,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss
3928,573440,197.41365969000003,912.33,280,145,0.0118066175,0.132861328125,0.38251006603240967,0.0003,2790,0.2,-0.009709791748900898,14.428823867253959,0.9308477640151978,-1.6628221329301596,7.720722198486328
3943,575488,196.64814493999998,908.46,281,145,0.02454422,0.22900390625,0.38132840394973755,0.0003,2800,0.2,-0.012896205607103185,10.590566746890545,0.9462252855300903,-1.661953241750598,5.121931552886963
3957,577536,196.63697401,908.35,282,145,0.025722355,0.24462890625,0.3823278546333313,0.0003,2810,0.2,-0.006794816264300607,10.75712307356298,0.9384335279464722,-1.661450806260109,11.094318389892578
3972,579584,200.26142379999993,916.69,283,145,0.03368918,0.3291015625,0.3788108229637146,0.0003,2820,0.2,-0.0013421289564576,2.8112499236129223,0.19889819622039795,-1.6487378790974616,1.049532175064087
3986,581632,201.53523455999996,921.76,284,145,0.020619955,0.22578125,0.37704014778137207,0.0003,2830,0.2,-0.01093203721102327,9.46271498054266,0.8892146944999695,-1.6202916402369738,2.3650598526000977
4000,583680,201.65028313999994,920.35,285,145,0.020742338,0.204248046875,0.37659841775894165,0.0003,2840,0.2,-0.00778126121731475,9.772280545532704,0.9133399724960327,-1.6121208421885966,0.7362684011459351
4014,585728,198.72316164,912.66,286,145,0.045279488,0.322705078125,0.37613826990127563,0.0003,2850,0.2,-0.004575686700991355,5.451980266626924,0.1556004285812378,-1.6062040444463492,1.5959577560424805
4028,587776,198.71809202000003,913.13,287,145,0.01234271,0.139599609375,0.37630635499954224,0.0003,2860,0.2,-0.00927319101174362,13.873253403976559,0.9018740057945251,-1.6045356426388024,4.215607166290283
4042,589824,200.25164305,913.46,288,145,0.028865032,0.30361328125,0.3758958876132965,0.0003,2870,0.2,-0.01033220121607883,5.5032021008431915,-0.18199145793914795,-1.5951439023017884,0.9650887846946716
4057,591872,200.29352800000004,912.92,289,145,0.025325019,0.325390625,0.3733750283718109,0.0003,2880,0.2,-0.00762424228596501,5.449079651199281,0.2256835699081421,-1.5838113833218812,8.523917198181152
4072,593920,204.67080693,919.55,290,145,0.03126709,0.32119140625,0.37558645009994507,0.0003,2890,0.2,-0.005381777251022868,2.762225101934746,0.23777133226394653,-1.578067347407341,0.22159142792224884
4087,595968,205.96197471000002,918.55,291,145,0.0212172,0.264501953125,0.3713788390159607,0.0003,2900,0.2,-0.007530095137190074,3.2820580081548543,0.28475117683410645,-1.5594389297068119,0.16340544819831848
4103,598016,200.46184107999997,905.06,292,145,0.021665923,0.27353515625,0.3738822340965271,0.0003,2910,0.2,-0.006749303083051927,5.4963554667308925,0.2958584427833557,-1.5615791473537683,7.3273749351501465
4119,600064,200.54554386999996,904.16,293,145,0.015133843,0.175537109375,0.3728436529636383,0.0003,2920,0.2,-0.013015500403707848,15.483430312387645,0.9081472754478455,-1.5712276626378299,1.54887855052948
4134,602112,200.57360456999996,904.32,294,145,0.01892747,0.274365234375,0.3727250397205353,0.0003,2930,0.2,-0.005198743112850934,5.390682264231145,0.10556018352508545,-1.5662903148680924,1.911995530128479
4148,604160,197.45553431999997,896.39,295,145,0.021987718,0.2822265625,0.3734511733055115,0.0003,2940,0.2,-0.010638032463612035,5.867841684259474,0.3754911422729492,-1.580732374638319,6.237087249755859
4163,606208,197.25214781,895.92,296,145,0.015365198,0.17255859375,0.3742578625679016,0.0003,2950,0.2,-0.009750222542788834,20.017369892075656,0.9075993895530701,-1.589435685798526,4.913083553314209
4179,608256,198.68434586,898.16,297,145,0.024170674,0.28330078125,0.370424747467041,0.0003,2960,0.2,-0.00668266071297694,4.8753865388222035,0.15388470888137817,-1.5719482086598873,2.898934841156006
4196,610304,204.04405186999998,908.71,298,145,0.022193097,0.30556640625,0.370420902967453,0.0003,2970,0.2,-0.008748806861694903,5.492746737413109,0.13440066576004028,-1.5535442668944597,2.1158034801483154
4214,612352,205.91837212,911.52,299,145,0.025715418,0.28408203125,0.37439101934432983,0.0003,2980,0.2,-0.008071791104157455,5.483133487123996,0.25213760137557983,-1.575772525370121,5.316595554351807
4232,614400,205.93174720000002,911.47,300,145,0.024584709,0.25966796875,0.3765992820262909,0.0003,2990,0.2,-0.007216437591705471,5.551834774576127,0.21048903465270996,-1.5981484588235617,0.7066093683242798
4250,616448,205.99687427000003,911.15,301,145,0.023411017,0.252685546875,0.3780376613140106,0.0003,3000,0.2,-0.008757641607371625,5.328691844269633,0.14853382110595703,-1.62615067102015,5.871695518493652
4268,618496,194.72854957000004,885.24,302,144,0.02447028,0.2828125,0.37636810541152954,0.0003,3010,0.2,-0.008537485374836251,5.812030925322324,0.13314855098724365,-1.6280724979937076,0.31309211254119873
4286,620544,190.96718129,873.35,303,144,0.012095623,0.1244140625,0.3767580986022949,0.0003,3020,0.2,-0.010930704761995003,27.3364820856601,0.8972173929214478,-1.6261751711368562,18.11336898803711
4303,622592,191.06988846000004,872.62,304,144,0.027083114,0.21044921875,0.3770037293434143,0.0003,3030,0.2,-0.005722815150511451,8.562675777636468,0.8913043737411499,-1.6328958947211505,5.201259613037109
4321,624640,191.12791829000005,872.02,305,144,0.029304184,0.3322265625,0.3769863247871399,0.0003,3040,0.2,-0.007908674658392557,5.576063324417919,0.12632858753204346,-1.6339683886617422,3.2283976078033447
4339,626688,189.77864222000005,869.51,306,144,0.018503502,0.261328125,0.3753977119922638,0.0003,3050,0.2,-0.010696449046372436,2.9569909771438687,0.39529949426651,-1.6262979093939065,0.6675478219985962
